new_id,id,text,date,event_minute,ticker,company_name,industry,event_time_et,in_trading_hours,adjusted_event_time_et,adjusted_event_time_utc,event_1h_pre_et,event_1h_end_et,event_5d_pre_et,event_5d_end_et,event_1h_pre,event_1h_end,event_5d_pre,event_5d_end
25,696218405825810432,"""""""@ABCPolitics: .@realDonaldTrump dominating @Google searches throughout #GPLFers.  https://t.co/IF35C2jcon""""""",2016-02-07 06:26:17,2016-02-07 06:26:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2016-02-07 01:26:00-05:00,1,2016-02-08 09:30:00-05:00,2016-02-08 14:30:00+00:00,2016-02-08 08:30:00-05:00,2016-02-08 10:30:00-05:00,2016-02-01 09:30:00-05:00,2016-02-16 09:30:00-05:00,2016-02-08 13:30:00+00:00,2016-02-08 15:30:00+00:00,2016-02-01 14:30:00+00:00,2016-02-16 14:30:00+00:00
17,713676890750509056,"""""""@Tytan01: Dear @CNN, after doing a quick Google &amp, Twitter search there are over 15,000 women's groups supporting DonaldTrump. Stop Lying.""""""",2016-03-26 10:40:04,2016-03-26 10:40:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2016-03-26 06:40:00-04:00,1,2016-03-28 09:30:00-04:00,2016-03-28 13:30:00+00:00,2016-03-28 08:30:00-04:00,2016-03-28 10:30:00-04:00,2016-03-18 09:30:00-04:00,2016-04-04 09:30:00-04:00,2016-03-28 12:30:00+00:00,2016-03-28 14:30:00+00:00,2016-03-18 13:30:00+00:00,2016-04-04 13:30:00+00:00
7,792734426912337920,"Wow, Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!",2016-10-30 14:26:30,2016-10-30 14:26:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2016-10-30 10:26:00-04:00,1,2016-10-31 09:30:00-04:00,2016-10-31 13:30:00+00:00,2016-10-31 08:30:00-04:00,2016-10-31 10:30:00-04:00,2016-10-24 09:30:00-04:00,2016-11-07 09:30:00-05:00,2016-10-31 12:30:00+00:00,2016-10-31 14:30:00+00:00,2016-10-24 13:30:00+00:00,2016-11-07 14:30:00+00:00
113,1019932691339399168,"I told you so! The European Union just slapped a Five Billion Dollar fine on one of our great companies, Google. They truly have taken advantage of the U.S., but not for long!",2018-07-19 13:11:17,2018-07-19 13:11:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2018-07-19 09:11:00-04:00,1,2018-07-20 09:30:00-04:00,2018-07-20 13:30:00+00:00,2018-07-20 08:30:00-04:00,2018-07-20 10:30:00-04:00,2018-07-13 09:30:00-04:00,2018-07-27 09:30:00-04:00,2018-07-20 12:30:00+00:00,2018-07-20 14:30:00+00:00,2018-07-13 13:30:00+00:00,2018-07-27 13:30:00+00:00
96,1034371152204967936,"Google search results for “Trump News” shows only the viewing/reporting of Fake New Media. In other words, they have it RIGGED, for me &amp, others, so that almost all stories &amp, news is BAD. Fake CNN is prominent. Republican/Conservative &amp, Fair Media  is shut out. Illegal?  96% of...",2018-08-28 09:24:35,2018-08-28 09:24:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2018-08-28 05:24:00-04:00,1,2018-08-29 09:30:00-04:00,2018-08-29 13:30:00+00:00,2018-08-29 08:30:00-04:00,2018-08-29 10:30:00-04:00,2018-08-22 09:30:00-04:00,2018-09-06 09:30:00-04:00,2018-08-29 12:30:00+00:00,2018-08-29 14:30:00+00:00,2018-08-22 13:30:00+00:00,2018-09-06 13:30:00+00:00
93,1034456281120206848,"....results on “Trump News” are from National Left-Wing Media, very dangerous. Google &amp, others are suppressing voices of Conservatives and hiding information and news that is good. They are controlling what we can &amp, cannot see. This is a very serious situation-will be addressed!",2018-08-28 15:02:51,2018-08-28 15:02:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2018-08-28 11:02:00-04:00,0,2018-08-28 11:02:00-04:00,2018-08-28 15:02:00+00:00,2018-08-28 10:02:00-04:00,2018-08-28 12:02:00-04:00,2018-08-21 09:30:00-04:00,2018-09-05 09:30:00-04:00,2018-08-28 14:02:00+00:00,2018-08-28 16:02:00+00:00,2018-08-21 13:30:00+00:00,2018-09-05 13:30:00+00:00
80,1063084073231544320,"The only “Collusion” is that of the Democrats with Russia and many others. Why didn’t the FBI take the Server from the DNC? They still don’t have it. Check out how biased Facebook, Google and Twitter are in favor of the Democrats. That’s the real Collusion!",2018-11-15 14:59:28,2018-11-15 14:59:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2018-11-15 09:59:00-05:00,0,2018-11-15 09:59:00-05:00,2018-11-15 14:59:00+00:00,2018-11-15 08:59:00-05:00,2018-11-15 10:59:00-05:00,2018-11-08 09:30:00-05:00,2018-11-23 09:30:00-05:00,2018-11-15 13:59:00+00:00,2018-11-15 15:59:00+00:00,2018-11-08 14:30:00+00:00,2018-11-23 14:30:00+00:00
75,1075004324567285761,"Facebook, Twitter and Google are so biased toward the Dems it is ridiculous! Twitter, in fact, has made it much more difficult for people to join @realDonaldTrump. They have removed many names &amp, greatly slowed the level and speed of increase. They have acknowledged-done NOTHING!",2018-12-18 12:26:18,2018-12-18 12:26:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2018-12-18 07:26:00-05:00,1,2018-12-19 09:30:00-05:00,2018-12-19 14:30:00+00:00,2018-12-19 08:30:00-05:00,2018-12-19 10:30:00-05:00,2018-12-12 09:30:00-05:00,2018-12-27 09:30:00-05:00,2018-12-19 13:30:00+00:00,2018-12-19 15:30:00+00:00,2018-12-12 14:30:00+00:00,2018-12-27 14:30:00+00:00
241,1107025689486737410,"Google is helping China and their military, but not the U.S. Terrible! The good news is that they helped Crooked Hillary Clinton, and not Trump....and how did that turn out?",2019-03-16 21:07:46,2019-03-16 21:07:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-03-16 17:07:00-04:00,1,2019-03-18 09:30:00-04:00,2019-03-18 13:30:00+00:00,2019-03-18 08:30:00-04:00,2019-03-18 10:30:00-04:00,2019-03-11 09:30:00-04:00,2019-03-25 09:30:00-04:00,2019-03-18 12:30:00+00:00,2019-03-18 14:30:00+00:00,2019-03-11 13:30:00+00:00,2019-03-25 13:30:00+00:00
238,1108004465121075200,"Facebook, Google and Twitter, not to mention the Corrupt Media, are sooo on the side of the Radical Left Democrats. But fear not, we will win anyway, just like we did before! #MAGA",2019-03-19 13:57:04,2019-03-19 13:57:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-03-19 09:57:00-04:00,0,2019-03-19 09:57:00-04:00,2019-03-19 13:57:00+00:00,2019-03-19 08:57:00-04:00,2019-03-19 10:57:00-04:00,2019-03-12 09:30:00-04:00,2019-03-26 09:30:00-04:00,2019-03-19 12:57:00+00:00,2019-03-19 14:57:00+00:00,2019-03-12 13:30:00+00:00,2019-03-26 13:30:00+00:00
